,z,om,o2,so4,h2s,fes2,dso4,dh2s,dfes2,f_o2,f_so4,f_h2s,f_fes2,fe,DB,DSO4,DH2S,DO2,phi,omega
29,14.524207011686144,713.6094793876888,-0.0,17.18728124052794,31.925369002136527,1.5599957225587748,102.14255419661664,-11.440047078233132,-8.64173375601662,1.3327141267205193e-17,1.3828040413103231e-11,1.1219721361029746e-11,2.608319052073486e-12,8.170573545196623,0.0,2.682992381228918e-10,5.659114229185129e-10,1.0752215212523867e-09,0.65,1.5e-11
30,15.025041736227045,716.0683288446529,-0.0,17.239709856015377,32.32640128876374,1.6496446975321661,102.27738105983335,-11.512693525274637,-8.822538509060665,1.3153144350102275e-17,1.3895847134569497e-11,1.128262416665725e-11,2.613222967912248e-12,8.084347178821861,0.0,2.6851145647364134e-10,5.661611453743517e-10,1.0752797257940166e-09,0.65,1.5e-11
31,15.525876460767947,711.7574447115044,-0.0,17.298921827626103,32.702076171873784,1.7344529828002726,102.3465347652086,-11.587748705400346,-8.93066530784195,1.2824097785325977e-17,1.3778408137088898e-11,1.116365728614061e-11,2.614750850948288e-12,7.996116284955129,0.0,2.6872367482439076e-10,5.664108678301906e-10,1.0753379303356465e-09,0.65,1.5e-11
32,16.026711185308848,714.2242581524922,-0.0,17.364130012043653,33.053735893617,1.824219788906317,102.35775455825242,-11.665055022897567,-9.087309188130025,1.2686146477798365e-17,1.3846504437588626e-11,1.1232164567385148e-11,2.6143398702034788e-12,7.909772087447717,0.0,2.689358931751402e-10,5.666605902860294e-10,1.075396134877277e-09,0.65,1.5e-11
33,16.52754590984975,709.9120036592169,-0.0,17.434731678167694,33.38260281022061,1.9089902845106264,102.3175899151008,-11.744525421779858,-9.180800391751044,1.2394800506192819e-17,1.3729184294647019e-11,1.1118263813267254e-11,2.610920481379765e-12,7.821578983244779,0.0,2.691481115258898e-10,5.669103127418682e-10,1.075454339418907e-09,0.65,1.5e-11
34,17.02838063439065,712.3867586955336,-0.0,17.510087234299547,33.68988381915456,1.9985446250937535,102.23233661650745,-11.826012512997874,-9.319206582848274,1.2285874424941393e-17,1.3797541120691177e-11,1.11915953501449e-11,2.605945770546278e-12,7.735447251260283,0.0,2.6936032987663926e-10,5.671600351977071e-10,1.075512543960537e-09,0.65,1.5e-11
35,17.529215358931552,708.0731055236938,-0.0,17.589725673724157,33.97667318297288,2.0829718987888795,102.10721852896627,-11.909438179839208,-9.401853364396896,1.2024764506154071e-17,1.3680311800842334e-11,1.1082021998245792e-11,2.5982898025965427e-12,7.6475973689665295,0.0,2.6957254822738867e-10,5.674097576535458e-10,1.0755707485021675e-09,0.65,1.5e-11
36,18.030050083472453,710.555783433783,-0.0,17.673125150126943,34.24405655174072,2.1720309346473305,101.94731434245476,-11.994664974736295,-9.526195300697289,1.1938540574296303e-17,1.374890591211875e-11,1.1159485363953957e-11,2.589420548164793e-12,7.561960941706709,0.0,2.697847665781382e-10,5.676594801093846e-10,1.0756289530437974e-09,0.65,1.5e-11
37,18.530884808013354,706.2407064466511,-0.0,17.759919777110344,34.49301342910002,2.2558542942304003,101.75674372777708,-12.081623325112881,-9.600651203239986,1.1701039847567947e-17,1.363174529977804e-11,1.105358539597167e-11,2.57815990380637e-12,7.474714973525012,0.0,2.6999698492888765e-10,5.679092025652236e-10,1.0756871575854273e-09,0.65,1.5e-11
38,19.031719532554256,708.7312914106641,-0.0,17.849681703567384,34.724520832890626,2.344177384220498,101.53958023660007,-12.170185270746316,-9.71393869788296,1.1631833364546965e-17,1.3700558279439995e-11,1.11345683149347e-11,2.565989964505297e-12,7.389814492133545,0.0,2.702092032796371e-10,5.681589250210623e-10,1.0757453621270579e-09,0.65,1.5e-11
